PDB_ID,Resolution,Method,Ab_type,Deposit_date,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ag_type(s),Affinity_KD(nM),Kd_nM_parsed,pKd,affinity_is_limit,Affinity_method,Affinity_temp(K),PMID,DOI
6gju,2.6,x-ray diffraction,VHH,2018-05-17,C,N.A.,A,protein,54,54.0,7.267606240177032,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gk4,2.91,x-ray diffraction,VHH,2018-05-18,C,N.A.,A,protein,39,39.0,7.4089353929735005,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gk4,2.91,x-ray diffraction,VHH,2018-05-18,F,N.A.,D,protein,39,39.0,7.4089353929735005,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gkd,2.99,x-ray diffraction,VHH,2018-05-18,N,N.A.,L;O,protein;protein,1100,1100.0,5.958607314841775,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gkd,2.99,x-ray diffraction,VHH,2018-05-18,K,N.A.,I;R,protein;protein,1100,1100.0,5.958607314841775,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gkd,2.99,x-ray diffraction,VHH,2018-05-18,T,N.A.,F;R,protein;protein,1100,1100.0,5.958607314841775,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gkd,2.99,x-ray diffraction,VHH,2018-05-18,C,N.A.,A;L,protein;protein,1100,1100.0,5.958607314841775,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gkd,2.99,x-ray diffraction,VHH,2018-05-18,Q,N.A.,A;O,protein;protein,1100,1100.0,5.958607314841775,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gkd,2.99,x-ray diffraction,VHH,2018-05-18,H,N.A.,F,protein,1100,1100.0,5.958607314841775,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gku,1.91,x-ray diffraction,FabH:FabL,2018-05-21,H,L,A,protein,0.9,0.9,9.045757490560675,False,SPR,N.A.,31123109,10.1126/science.aaw4295
6h2y,2.65,x-ray diffraction,FabH:FabL,2018-07-17,H,L,D,protein,2.7,2.7,8.568636235841012,False,SPR,298,31442074,10.1096/fj.201900374R
6h3t,2.84,x-ray diffraction,VH:VL,2018-07-19,I,M,A;B,protein;protein,5.4,5.4,8.267606240177031,False,BLI,N.A.,30787296,10.1038/s41467-019-08832-8
6h3t,2.84,x-ray diffraction,VH:VL,2018-07-19,H,L,A;B,protein;protein,5.4,5.4,8.267606240177031,False,BLI,N.A.,30787296,10.1038/s41467-019-08832-8
6h6y,1.58,x-ray diffraction,VHH,2018-07-30,H,N.A.,D,protein,0.163,0.163,9.787812395596042,False,ITC,308,30602609,10.1128/JVI.02005-18
6h6y,1.58,x-ray diffraction,VHH,2018-07-30,G,N.A.,C,protein,0.163,0.163,9.787812395596042,False,ITC,308,30602609,10.1128/JVI.02005-18
6h6y,1.58,x-ray diffraction,VHH,2018-07-30,F,N.A.,B,protein,0.163,0.163,9.787812395596042,False,ITC,308,30602609,10.1128/JVI.02005-18
6h6y,1.58,x-ray diffraction,VHH,2018-07-30,E,N.A.,A;B,protein;protein,0.163,0.163,9.787812395596042,False,ITC,308,30602609,10.1128/JVI.02005-18
6h6z,2.08,x-ray diffraction,VHH,2018-07-30,C,N.A.,A;B,protein;protein,4.58,4.58,8.339134521996131,False,ITC,303,30602609,10.1128/JVI.02005-18
6h6z,2.08,x-ray diffraction,VHH,2018-07-30,D,N.A.,A;B,protein;protein,4.58,4.58,8.339134521996131,False,ITC,303,30602609,10.1128/JVI.02005-18
6h71,2.31,x-ray diffraction,VHH,2018-07-30,C,N.A.,A,protein,43.8,43.8,7.3585258894959,False,ITC,298,30602609,10.1128/JVI.02005-18
6h71,2.31,x-ray diffraction,VHH,2018-07-30,D,N.A.,B,protein,43.8,43.8,7.3585258894959,False,ITC,298,30602609,10.1128/JVI.02005-18
6her,1.2,x-ray diffraction,VHH,2018-08-20,B,N.A.,A,protein,40,40.0,7.3979400086720375,False,SPR,298,31815959,10.1371/journal.ppat.1008139
6hhc,2.7,x-ray diffraction,FabH:FabL,2018-08-27,H,L,A,protein,2.4,2.4,8.619788758288394,False,SPR,298,31655039,10.1016/j.jmb.2019.09.008
6hhd,2.1,x-ray diffraction,VHH,2018-08-28,B,N.A.,A,protein,40,40.0,7.3979400086720375,False,SPR,298,31815959,10.1371/journal.ppat.1008139
6i07,2.35,x-ray diffraction,scFv,2018-10-25,B,N.A.,D,protein,10,10.0,8.0,False,BLI,298,30898885,10.1073/pnas.1819085116
6i07,2.35,x-ray diffraction,scFv,2018-10-25,A,N.A.,C,protein,10,10.0,8.0,False,BLI,298,30898885,10.1073/pnas.1819085116
6i8s,2.9,x-ray diffraction,FabH:FabL,2018-11-21,E,I,A;D,protein;protein,0.006,0.006,11.221848749616356,False,SPR,N.A.,30733557,10.1038/s41598-019-38842-x
6i8s,2.9,x-ray diffraction,FabH:FabL,2018-11-21,F,J,B,protein,0.006,0.006,11.221848749616356,False,SPR,N.A.,30733557,10.1038/s41598-019-38842-x
6i8s,2.9,x-ray diffraction,FabH:FabL,2018-11-21,G,K,B;C,protein;protein,0.006,0.006,11.221848749616356,False,SPR,N.A.,30733557,10.1038/s41598-019-38842-x
6i8s,2.9,x-ray diffraction,FabH:FabL,2018-11-21,H,L,D,protein,0.006,0.006,11.221848749616356,False,SPR,N.A.,30733557,10.1038/s41598-019-38842-x
6iea,2.0,x-ray diffraction,FabH:FabL,2018-09-13,H,L,A,protein,295,295.0,6.5301779840218375,False,SPR,298,30936489,10.1038/s41564-019-0411-z
6ieb,2.41,x-ray diffraction,FabH:FabL,2018-09-13,H,L,A,protein,18.5,18.5,7.732828271596986,False,SPR,298,30936489,10.1038/s41564-019-0411-z
6ieb,2.41,x-ray diffraction,FabH:FabL,2018-09-13,E,F,B,protein,18.5,18.5,7.732828271596986,False,SPR,298,30936489,10.1038/s41564-019-0411-z
6iek,2.7,x-ray diffraction,FabH:FabL,2018-09-14,B,C,A,protein,47.7,47.7,7.321481620959886,False,SPR,298,30936489,10.1038/s41564-019-0411-z
6iek,2.7,x-ray diffraction,FabH:FabL,2018-09-14,E,F,D,protein,47.7,47.7,7.321481620959886,False,SPR,298,30936489,10.1038/s41564-019-0411-z
6ir1,1.92,x-ray diffraction,VHH,2018-11-09,B,N.A.,A,protein,22.5,22.5,7.647817481888637,False,ITC,293,34562299,10.1002/pro.4194
6ir2,1.39,x-ray diffraction,VHH,2018-11-09,B,N.A.,A,protein,3.02,3.02,8.51999305704285,False,ITC,293,34562299,10.1002/pro.4194
6ivz,2.4,x-ray diffraction,VH:VL,2018-12-04,H,L,A,protein,9.7,9.7,8.013228265733755,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6iw2,2.9,x-ray diffraction,VH:VL,2018-12-04,B,C,A,protein,13.5,13.5,7.8696662315049934,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6iw2,2.9,x-ray diffraction,VH:VL,2018-12-04,E,F,D,protein,13.5,13.5,7.8696662315049934,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6iw2,2.9,x-ray diffraction,VH:VL,2018-12-04,H,I,G,protein,13.5,13.5,7.8696662315049934,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6iw2,2.9,x-ray diffraction,VH:VL,2018-12-04,K,L,J,protein,13.5,13.5,7.8696662315049934,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6iw2,2.9,x-ray diffraction,VH:VL,2018-12-04,N,O,M,protein,13.5,13.5,7.8696662315049934,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6iw2,2.9,x-ray diffraction,VH:VL,2018-12-04,Q,R,P,protein,13.5,13.5,7.8696662315049934,False,SPR,298,30625326,10.1016/j.celrep.2018.12.065
6j11,3.0,x-ray diffraction,VH:VL,2018-12-27,D,E,C,protein,25,25.0,7.6020599913279625,False,SPR,298,31296843,10.1038/s41467-019-10897-4
6j11,3.0,x-ray diffraction,VH:VL,2018-12-27,F,G,B,protein,25,25.0,7.6020599913279625,False,SPR,298,31296843,10.1038/s41467-019-10897-4
6j11,3.0,x-ray diffraction,VH:VL,2018-12-27,H,L,A,protein,25,25.0,7.6020599913279625,False,SPR,298,31296843,10.1038/s41467-019-10897-4
6j14,1.4,x-ray diffraction,VH:VL,2018-12-27,A,B,G,protein,1.54,1.54,8.812479279163536,False,SPR,298,30952089,10.1016/j.isci.2019.03.017
6j15,2.6,x-ray diffraction,FabH:FabL,2018-12-27,A,B,C,protein,1.22,1.22,8.913640169325252,False,SPR,298,30952089,10.1016/j.isci.2019.03.017
6j15,2.6,x-ray diffraction,FabH:FabL,2018-12-27,H,L,D,protein,1.22,1.22,8.913640169325252,False,SPR,298,30952089,10.1016/j.isci.2019.03.017
6j5d,1.8,x-ray diffraction,VH:VL,2019-01-10,H,L,A,protein,45.4,45.4,7.342944147142896,False,SPR,298,30760569,10.1128/JVI.02132-18
6j5f,1.8,x-ray diffraction,VH:VL,2019-01-10,H,L,A,protein,390,390.0,6.4089353929735005,False,SPR,298,30760569,10.1128/JVI.02132-18
6j6y,2.15,x-ray diffraction,FabH:FabL,2019-01-16,B,C,A,protein,0.36,0.36,9.443697499232712,False,ELISA,N.A.,31350344,10.1158/1535-7163.MCT-18-0048
6j6y,2.15,x-ray diffraction,FabH:FabL,2019-01-16,E,F,D,protein,0.36,0.36,9.443697499232712,False,ELISA,N.A.,31350344,10.1158/1535-7163.MCT-18-0048
6jb2,1.5,x-ray diffraction,VHH,2019-01-25,A,N.A.,B,protein,635,635.0,6.197226274708024,False,SPR,298,31664051,10.1038/s41598-019-50722-y
6jb5,1.55,x-ray diffraction,VHH,2019-01-25,A,N.A.,B,protein,635,635.0,6.197226274708024,False,SPR,298,31664051,10.1038/s41598-019-50722-y
6jb8,1.65,x-ray diffraction,VHH,2019-01-25,A,N.A.,B,protein,0.13,0.13,9.886056647693163,False,SPR,298,31664051,10.1038/s41598-019-50722-y
6jep,2.32,x-ray diffraction,FabH:FabL,2019-02-07,K,I,F,protein,1.06,1.06,8.97469413473523,False,SPR,298,30893607,10.1016/j.celrep.2019.02.062
6jep,2.32,x-ray diffraction,FabH:FabL,2019-02-07,H,L,E,protein,1.06,1.06,8.97469413473523,False,SPR,298,30893607,10.1016/j.celrep.2019.02.062
6jjp,2.9,x-ray diffraction,FabH:FabL,2019-02-26,A,B,C,protein,3.55,3.55,8.449771646944907,False,SPR,N.A.,31667366,10.1038/s42003-019-0642-9
6jjp,2.9,x-ray diffraction,FabH:FabL,2019-02-26,D,E,F,protein,3.55,3.55,8.449771646944907,False,SPR,N.A.,31667366,10.1038/s42003-019-0642-9
6k0y,1.7,x-ray diffraction,FabH:FabL,2019-05-08,A,B,C,protein,40.3,40.3,7.394694953858891,False,SPR,N.A.,31780710,10.1038/s41598-019-54231-w
6k7o,3.0,x-ray diffraction,FabH:FabL,2019-06-08,H,L,A,protein,2.9,2.9,8.537602002101044,False,BLI,N.A.,31213474,10.1158/2326-6066.CIR-19-0036
6k7o,3.0,x-ray diffraction,FabH:FabL,2019-06-08,B,C,P,protein,2.9,2.9,8.537602002101044,False,BLI,N.A.,31213474,10.1158/2326-6066.CIR-19-0036
6k7o,3.0,x-ray diffraction,FabH:FabL,2019-06-08,D,E,Q,protein,2.9,2.9,8.537602002101044,False,BLI,N.A.,31213474,10.1158/2326-6066.CIR-19-0036
6k7o,3.0,x-ray diffraction,FabH:FabL,2019-06-08,F,G,R,protein,2.9,2.9,8.537602002101044,False,BLI,N.A.,31213474,10.1158/2326-6066.CIR-19-0036
6kyz,1.84,x-ray diffraction,VH:VL,2019-09-20,B,C,A,protein,82.3,82.3,7.08460016478773,False,ITC,N.A.,32467165,10.1073/pnas.1918844117
6kyz,1.84,x-ray diffraction,VH:VL,2019-09-20,E,F,D,protein,82.3,82.3,7.08460016478773,False,ITC,N.A.,32467165,10.1073/pnas.1918844117
6kz0,2.4,x-ray diffraction,VH:VL,2019-09-21,K,L,J,protein,9.1,9.1,8.040958607678906,False,ITC,N.A.,32467165,10.1073/pnas.1918844117
6kz0,2.4,x-ray diffraction,VH:VL,2019-09-21,H,I,G,protein,9.1,9.1,8.040958607678906,False,ITC,N.A.,32467165,10.1073/pnas.1918844117
6kz0,2.4,x-ray diffraction,VH:VL,2019-09-21,B,C,A,protein,9.1,9.1,8.040958607678906,False,ITC,N.A.,32467165,10.1073/pnas.1918844117
6kz0,2.4,x-ray diffraction,VH:VL,2019-09-21,E,F,D,protein,9.1,9.1,8.040958607678906,False,ITC,N.A.,32467165,10.1073/pnas.1918844117
6lgw,2.9,x-ray diffraction,scFv,2019-12-06,A,N.A.,E,protein,35.3,35.3,7.452225294612178,False,SPR,298,32004500,10.1016/j.chom.2019.12.012
6lgw,2.9,x-ray diffraction,scFv,2019-12-06,C,N.A.,F,protein,35.3,35.3,7.452225294612178,False,SPR,298,32004500,10.1016/j.chom.2019.12.012
6lr7,1.67,x-ray diffraction,VHH,2020-01-15,B,N.A.,A,protein,6.7,6.7,8.173925197299173,False,ITC,293,32277083,10.1038/s41598-020-62606-7
6lxi,2.5,x-ray diffraction,FabH:FabL,2020-02-11,H,L,A,protein,543,543.0,6.265200170411153,False,SPR,298,33024040,10.1128/mBio.02315-20
6lxi,2.5,x-ray diffraction,FabH:FabL,2020-02-11,C,D,B,protein,543,543.0,6.265200170411153,False,SPR,298,33024040,10.1128/mBio.02315-20
6lxj,2.9,x-ray diffraction,FabH:FabL,2020-02-11,M,N,D,protein,946,946.0,6.024108863598207,False,SPR,298,33024040,10.1128/mBio.02315-20
6lxj,2.9,x-ray diffraction,FabH:FabL,2020-02-11,J,K,C,protein,946,946.0,6.024108863598207,False,SPR,298,33024040,10.1128/mBio.02315-20
6lxj,2.9,x-ray diffraction,FabH:FabL,2020-02-11,H,L,A,protein,946,946.0,6.024108863598207,False,SPR,298,33024040,10.1128/mBio.02315-20
6lxj,2.9,x-ray diffraction,FabH:FabL,2020-02-11,E,F,B,protein,946,946.0,6.024108863598207,False,SPR,298,33024040,10.1128/mBio.02315-20
6lyn,2.78,x-ray diffraction,FabH:FabL,2020-02-14,A,B,C,protein,1.12,1.12,8.950781977329818,False,BLI,N.A.,33997697,10.1016/j.isci.2021.102417
6lyn,2.78,x-ray diffraction,FabH:FabL,2020-02-14,H,L,D,protein,1.12,1.12,8.950781977329818,False,BLI,N.A.,33997697,10.1016/j.isci.2021.102417
6m3b,2.2,x-ray diffraction,FabH:FabL,2020-03-03,C,B,A,protein,13,13.0,7.886056647693163,False,SPR,298,32532974,10.1038/s41467-020-16720-9
6m58,2.95,x-ray diffraction,FabH:FabL,2020-03-10,H,L,A,protein,1,1.0,9.0,False,BLI,N.A.,32284170,10.1016/j.bbrc.2020.03.133
6m58,2.95,x-ray diffraction,FabH:FabL,2020-03-10,C,D,B,protein,1,1.0,9.0,False,BLI,N.A.,32284170,10.1016/j.bbrc.2020.03.133
6mfp,3.0,x-ray diffraction,FabH:FabL,2018-09-11,C,D,A,protein,0.6,0.6,9.221848749616356,False,SPR,N.A.,31776278,10.1128/JVI.01120-19
6mfp,3.0,x-ray diffraction,FabH:FabL,2018-09-11,H,L,G,protein,0.6,0.6,9.221848749616356,False,SPR,N.A.,31776278,10.1128/JVI.01120-19
6mft,2.31,x-ray diffraction,FabH:FabL,2018-09-12,A,B,C,protein,43,43.0,7.366531544420414,False,BLI,302,30403372,10.7554/eLife.37688
6mft,2.31,x-ray diffraction,FabH:FabL,2018-09-12,H,L,G,protein,43,43.0,7.366531544420414,False,BLI,302,30403372,10.7554/eLife.37688
6mg7,2.91,x-ray diffraction,FabH:FabL,2018-09-13,H,L,G,protein,2.1,2.1,8.67778070526608,False,SPR,298,32605979,10.1128/mBio.00208-20
6mhr,2.8,x-ray diffraction,FabH:FabL,2018-09-18,A,B,C,protein,22,22.0,7.657577319177793,False,SPR,298,30410017,10.1038/s41467-018-07136-7
6mhr,2.8,x-ray diffraction,FabH:FabL,2018-09-18,D,E,F,protein,22,22.0,7.657577319177793,False,SPR,298,30410017,10.1038/s41467-018-07136-7
6mi2,2.72,x-ray diffraction,FabH:FabL,2018-09-19,A,B,C,protein,69,69.0,7.161150909262744,False,SPR,298,30410017,10.1038/s41467-018-07136-7
6mi2,2.72,x-ray diffraction,FabH:FabL,2018-09-19,D,E,F,protein,69,69.0,7.161150909262744,False,SPR,298,30410017,10.1038/s41467-018-07136-7
6mlk,2.45,x-ray diffraction,FabH:FabL,2018-09-27,H,L,A,protein,13,13.0,7.886056647693163,False,ELISA,295,30289692,10.1021/acs.biochem.8b00886
6mto,2.63,x-ray diffraction,FabH:FabL,2018-10-21,H,L,T,protein,0.39,0.39,9.4089353929735,False,BLI,N.A.,30876875,10.1016/j.immuni.2019.02.008
6n5e,3.0,x-ray diffraction,FabH:FabL,2018-11-21,G,F,B,protein,0.6,0.6,9.221848749616356,False,ELISA,N.A.,31104946,10.1016/j.chom.2019.04.003
6n5e,3.0,x-ray diffraction,FabH:FabL,2018-11-21,H,I,C,protein,0.6,0.6,9.221848749616356,False,ELISA,N.A.,31104946,10.1016/j.chom.2019.04.003
6n5e,3.0,x-ray diffraction,FabH:FabL,2018-11-21,E,D,A,protein,0.6,0.6,9.221848749616356,False,ELISA,N.A.,31104946,10.1016/j.chom.2019.04.003
6nmr,2.42,x-ray diffraction,FabH:FabL,2019-01-11,H,L,S,protein,0.183,0.183,9.73754891026957,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmr,2.42,x-ray diffraction,FabH:FabL,2019-01-11,J,K,M,protein,0.183,0.183,9.73754891026957,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmr,2.42,x-ray diffraction,FabH:FabL,2019-01-11,A,B,E,protein,0.183,0.183,9.73754891026957,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmr,2.42,x-ray diffraction,FabH:FabL,2019-01-11,F,G,I,protein,0.183,0.183,9.73754891026957,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nms,2.11,x-ray diffraction,FabH:FabL,2019-01-11,B,A,C,protein,0.458,0.458,9.339134521996131,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nms,2.11,x-ray diffraction,FabH:FabL,2019-01-11,H,L,S,protein,0.458,0.458,9.339134521996131,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmt,1.83,x-ray diffraction,FabH:FabL,2019-01-11,B,A,C,protein,0.162,0.162,9.790484985457368,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmu,2.55,x-ray diffraction,FabH:FabL,2019-01-11,B,A,C,protein,0.426,0.426,9.370590400897282,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmu,2.55,x-ray diffraction,FabH:FabL,2019-01-11,H,L,S,protein,0.426,0.426,9.370590400897282,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6nmv,2.61,x-ray diffraction,FabH:FabL,2019-01-11,H,L,S,protein,0.123,0.123,9.910094888560602,False,SPR,N.A.,31257988,10.1080/19420862.2019.1624123
6o39,1.8,x-ray diffraction,FabH:FabL,2019-02-26,B,A,C,protein,1.7,1.7,8.769551078621726,False,BLI,298,30894493,10.1073/pnas.1817246116
6o3a,2.1,x-ray diffraction,FabH:FabL,2019-02-26,B,A,E,protein,5.2,5.2,8.2839966563652,False,BLI,298,30894493,10.1073/pnas.1817246116
6o3b,2.5,x-ray diffraction,FabH:FabL,2019-02-26,G,E,H,protein,4.5,4.5,8.346787486224656,False,BLI,298,30894493,10.1073/pnas.1817246116
6o3b,2.5,x-ray diffraction,FabH:FabL,2019-02-26,B,A,C,protein,4.5,4.5,8.346787486224656,False,BLI,298,30894493,10.1073/pnas.1817246116
6o3c,2.8,x-ray diffraction,VHH,2019-02-26,B,N.A.,A,protein,117,117.0,6.931814138253839,False,SPR,298,31263273,10.1038/s41586-019-1355-4
6o3l,1.98,x-ray diffraction,FabH:FabL,2019-02-26,H,L,D,peptide,7.5,7.5,8.1249387366083,False,BLI,N.A.,31772165,10.1038/s41467-019-12973-1
6o3l,1.98,x-ray diffraction,FabH:FabL,2019-02-26,A,B,E,peptide,7.5,7.5,8.1249387366083,False,BLI,N.A.,31772165,10.1038/s41467-019-12973-1
6o42,2.6,x-ray diffraction,FabH:FabL,2019-02-27,H,L,G,peptide,64.4,64.4,7.1911141326401875,False,BLI,N.A.,31772165,10.1038/s41467-019-12973-1
6o42,2.6,x-ray diffraction,FabH:FabL,2019-02-27,B,A,I,peptide,64.4,64.4,7.1911141326401875,False,BLI,N.A.,31772165,10.1038/s41467-019-12973-1
6o9h,2.1,x-ray diffraction,FabH:FabL,2019-03-13,A,B,C,protein,0.144,0.144,9.84163750790475,False,kinetic exclusion assay,N.A.,31905038,10.1080/19420862.2019.1710047
6o9h,2.1,x-ray diffraction,FabH:FabL,2019-03-13,H,L,D,protein,0.144,0.144,9.84163750790475,False,kinetic exclusion assay,N.A.,31905038,10.1080/19420862.2019.1710047
6o9i,2.6,x-ray diffraction,FabH:FabL,2019-03-13,D,E,C,protein,0.068,0.068,10.167491087293763,False,kinetic exclusion assay,N.A.,31905038,10.1080/19420862.2019.1710047
6o9i,2.6,x-ray diffraction,FabH:FabL,2019-03-13,A,B,C,protein,0.144,0.144,9.84163750790475,False,kinetic exclusion assay,N.A.,31905038,10.1080/19420862.2019.1710047
6oan,2.9,x-ray diffraction,scFv,2019-03-18,B,N.A.,A,protein,3.4,3.4,8.468521082957745,False,BLI,298,31133752,10.1038/s41564-019-0461-2
6oan,2.9,x-ray diffraction,scFv,2019-03-18,D,N.A.,C,protein,3.4,3.4,8.468521082957745,False,BLI,298,31133752,10.1038/s41564-019-0461-2
6obc,1.76,x-ray diffraction,VHH,2019-03-20,B,N.A.,A,protein,0.31,0.31,9.508638306165727,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
6obe,1.73,x-ray diffraction,VHH,2019-03-20,B,N.A.,A,protein,4.01,4.01,8.396855627379818,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
6obg,2.0,x-ray diffraction,VHH,2019-03-20,C,N.A.,A,protein,0.42,0.42,9.3767507096021,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
6obg,2.0,x-ray diffraction,VHH,2019-03-20,D,N.A.,A;B,protein;protein,0.42,0.42,9.3767507096021,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
6obm,2.5,x-ray diffraction,VHH,2019-03-21,B,N.A.,A,protein,4.2,4.2,8.3767507096021,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
6obo,1.9,x-ray diffraction,VHH,2019-03-21,C,N.A.,A,protein,10.9,10.9,7.962573502059376,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
6obo,1.9,x-ray diffraction,VHH,2019-03-21,D,N.A.,B,protein,10.9,10.9,7.962573502059376,False,SPR,N.A.,31931008,10.1016/j.jmb.2020.01.006
